env_name,multi_origin_success_rate,multi_origin_path_efficiency,baseline_success_rate,baseline_path_efficiency
simplest_simplest_546025.6070834016_996382.4069940181.z8,0.0,0,0.0,0
NPP_Average-Regular_Approach1_545483.4387151967_1429530.6903873077.z8,0.0,0,0.0,0
JCD_Average-Regular_Approach1_547524.3349056605_1331096.278301887.z8,0.0,0,0.0,0
AW_Average-Regular_Approach1_546535.0_1036314.0.z8,0.0,0,0.0,0
AKV_Average-Regular_Approach1_548634.5645125471_1019060.8024650232.z8,0.0,0,0.0,0
